City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,surgut,61.25,73.4167,-23.9,84,20,4.0,RU,1738530964
330,bahia blanca,-38.7196,-62.2724,35.43,19,88,4.58,AR,1738530835
331,cruzeiro do sul,-29.5128,-51.9853,31.95,43,9,5.69,BR,1738530816
332,shambu,9.5667,37.1,13.8,42,75,0.67,ET,1738530968
333,demba,-5.51,22.2667,21.1,95,90,1.0,CD,1738530969
334,zhigalovo,54.8097,105.1578,-29.35,100,96,0.19,RU,1738530970
335,bom jesus,-9.0744,-44.3586,24.39,87,86,1.44,BR,1738530971
336,faya-largeau,17.9257,19.1043,21.42,13,94,5.2,TD,1738530972
337,murghob,38.1702,73.9667,-29.21,97,95,1.12,TJ,1738530973
338,moose jaw,50.4001,-105.5344,-22.94,88,22,5.15,CA,1738530772
339,dabou,5.3256,-4.3769,27.08,82,93,4.14,CI,1738530976
340,matthew town,20.95,-73.6667,26.59,65,0,8.7,BS,1738530977
341,urangan,-25.3,152.9,25.91,78,98,8.38,AU,1738530979
342,ulsteinvik,62.3432,5.8487,5.17,84,100,4.47,NO,1738530980
343,ad dilam,23.9915,47.1627,11.99,31,1,3.04,SA,1738530982
344,manakara,-22.1333,48.0167,24.91,93,100,2.86,MG,1738530983
345,ventnor,50.5948,-1.2037,3.57,65,61,1.05,GB,1738530984
346,russellville,35.2784,-93.1338,22.21,38,0,1.54,US,1738530985
347,port saint john's,-31.6229,29.5448,23.63,94,66,6.72,ZA,1738530986
348,jianshui,23.6363,102.8264,9.38,93,100,2.32,CN,1738530987
349,suva,-18.1416,178.4415,27.71,83,40,2.06,FJ,1738530944
350,sucre,-19.0333,-65.2627,18.55,45,90,2.91,BO,1738530990
351,dudinka,69.4058,86.1778,-36.42,100,53,0.49,RU,1738530991
352,bethanie,-26.4833,17.15,26.31,13,0,4.54,NA,1738530993
353,loiza,18.4313,-65.8802,26.98,86,40,5.14,PR,1738530994
354,salto de agua,17.6167,-92.3667,27.07,77,65,2.71,MX,1738530995
355,papao,-17.75,-149.55,30.82,71,12,5.14,PF,1738530997
356,divnoye,45.9089,43.3547,5.29,81,97,1.7,RU,1738530998
357,tinghir,31.5157,-5.5343,9.76,35,100,1.61,MA,1738530999
358,mpika,-11.8343,31.4529,17.07,96,100,1.04,ZM,1738531000
359,santana,-0.0583,-51.1817,26.1,94,40,3.09,BR,1738530974
